product_id,camera_video
55930,"8K@24fps, 4K@30/60fps, 1080p@30/60/120/240/960fps, 720p@1920fps"
89099,HD 720p@120fpsFullHD 1080p@60fps
64073,N/A
77505,"8K@30fps, 4K@30/60/120fps, 1080p@30/60fps, gyro-EIS, HDR10, 10‑bit video"
51983,4K@24fps/25fps/30fps/60fps1080p HD@24fps/25fps/30fps/60fps720p HD@30fps
35084,N/A
73393,"8K, 4K, 1080p, gyro-EIS, Cinematic mode (4K)"
89224,"UHD 8K (7680 x 4320)@30fps240fps @FHD, 120fps @FHD, 120fps @UHD"
79117,1080p@30fps
48949,UHD 8K (7680 x 4320)@24fps
57253,4K@30/60fps1080p@30/60fps
72207,"4K@30/60fps, 1080p@30/60/120/240/480fps, 720p@960fps, 720p@3840fps, HDR, gyro-EIS"
58609,N/A
55511,"4K@30/60fps1080p@30/60/120/240fpsCon quay hồi chuyển EIS, OIS"
72113,N/A
56134,N/A
88563,N/A
88452,N/A
66929,1080P@30fps
78048,N/A
82061,HD 720p@30fpsFullHD 1080p@30fps
50258,"4K@30/60fps, 1080p@30/60/40fps, 1080p@960fps"
83341,N/A
54285,"4K@30/60fps, 1080p@30/60/240fps, gyro-EIS, HDR"
63276,"4K@30fps, 1080p@30/60fps"
61801,"4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR10+"
78379,HD 720p@30fpsFullHD 1080p@30fps
87124,HD 720p@30fpsFullHD 1080p@30fps
49629,"4K@ 30fps, 1080p@30/60/120fps"
55763,HD 720p@30/120fpsFullHD 1080p@30fps
83038,N/A
63450,N/A
89107,SD 480p@30fpsHD 720p@30fpsFullHD 1080p@30fps
49114,N/A
73551,N/A
72114,1080P 1920x1080 30fps720P 1280x720 30fps
49112,1080p@30fps
53443,1080p@30fps
71548,N/A
53192,N/A
82060,FullHD 1080p@60/30fpsHD 720p@30fps
73017,HD 720p@30fpsFullHD 1080p@30fps
35897,4K@30/60 fps (3840x2160)1080p@60fps (1920x1080)720p@30fps (1280x720)
90480,N/A
54449,N/A
66932,1080P@30fps
81357,N/A
49260,"FullHD 1080p@30fps, HD 720p@30fps"
28959,N/A
85242,N/A
62208,1080p@30fps
86565,"1080P@30 fps, 720P@30 fps"
55509,"4K@30/60fps1080p@30/60/120/240fpsCon quay hồi chuyển EIS, OIS"
64268,"4K@30fps, 1080p@30/60/120/240fps"
85458,N/A
63188,"4K@30fps, 1080p@30/60fps, gyro-EIS, live HDR"
